0.00000000e+000	-1.48440773e+006	
4.45182480e-003	-1.28978627e+006	
8.90364959e-003	-1.21424991e+006	
1.33554744e-002	-1.19357076e+006	
1.78072992e-002	-1.18396996e+006	
2.22591240e-002	-1.17936015e+006	
2.67109488e-002	-1.17785386e+006	
3.11627736e-002	-1.17692606e+006	
3.56145984e-002	-1.17641240e+006	
4.00664232e-002	-1.17590564e+006	
4.45182480e-002	-1.17539888e+006	
4.89700728e-002	-1.17519243e+006	
5.34218975e-002	-1.17531594e+006	
5.78737223e-002	-1.17543945e+006	
6.23255471e-002	-1.17556296e+006	
6.67773719e-002	-1.17573683e+006	
7.12291967e-002	-1.17591151e+006	
7.56810215e-002	-1.17608620e+006	
8.01328463e-002	-1.17626088e+006	
8.45846711e-002	-1.17643557e+006	
8.90364959e-002	-1.17661026e+006	
9.34883207e-002	-1.17678494e+006	
9.79401455e-002	-1.17696785e+006	
1.02391970e-001	-1.17715109e+006	
1.06843795e-001	-1.17733434e+006	
1.11295620e-001	-1.17751759e+006	
1.15747445e-001	-1.17770083e+006	
1.20199269e-001	-1.17788408e+006	
1.24651094e-001	-1.17806733e+006	
1.29102919e-001	-1.17820920e+006	
1.33554744e-001	-1.17834737e+006	
1.38006569e-001	-1.17848554e+006	
1.42458393e-001	-1.17862372e+006	
1.46910218e-001	-1.17876189e+006	
1.51362043e-001	-1.17890006e+006	
1.55813868e-001	-1.17903823e+006	
1.60265693e-001	-1.17915801e+006	
1.64717517e-001	-1.17927563e+006	
1.69169342e-001	-1.17939325e+006	
1.73621167e-001	-1.17951086e+006	
1.78072992e-001	-1.17962848e+006	
1.82524817e-001	-1.17974609e+006	
1.86976641e-001	-1.17986371e+006	
1.91428466e-001	-1.17996144e+006	
1.95880291e-001	-1.18005642e+006	
2.00332116e-001	-1.18015139e+006	
2.04783941e-001	-1.18024637e+006	
2.09235765e-001	-1.18034135e+006	
2.13687590e-001	-1.18043633e+006	
2.18139415e-001	-1.18053130e+006	
2.22591240e-001	-1.18062628e+006	
2.27043065e-001	-1.18072126e+006	
2.31494889e-001	-1.18081623e+006	
2.35946714e-001	-1.18091121e+006	
2.40398539e-001	-1.18100619e+006	
2.44850364e-001	-1.18110117e+006	
2.49302189e-001	-1.18119614e+006	
2.53754013e-001	-1.18126521e+006	
2.58205838e-001	-1.18132968e+006	
2.62657663e-001	-1.18139414e+006	
2.67109488e-001	-1.18145861e+006	
2.71561313e-001	-1.18152307e+006	
2.76013137e-001	-1.18158754e+006	
2.80464962e-001	-1.18165200e+006	
2.84916787e-001	-1.18171647e+006	
2.89368612e-001	-1.18178093e+006	
2.93820437e-001	-1.18184540e+006	
2.98272261e-001	-1.18190986e+006	
3.02724086e-001	-1.18197433e+006	
3.07175911e-001	-1.18203879e+006	
3.11627736e-001	-1.18210326e+006	
3.16079560e-001	-1.18216772e+006	
3.20531385e-001	-1.18223219e+006	
3.24983210e-001	-1.18229665e+006	
3.29435035e-001	-1.18236112e+006	
3.33886860e-001	-1.18241322e+006	
3.38338684e-001	-1.18244459e+006	
3.42790509e-001	-1.18247597e+006	
3.47242334e-001	-1.18250735e+006	
3.51694159e-001	-1.18253873e+006	
3.56145984e-001	-1.18257010e+006	
3.60597808e-001	-1.18260148e+006	
3.65049633e-001	-1.18263286e+006	
3.69501458e-001	-1.18266424e+006	
3.73953283e-001	-1.18269561e+006	
3.78405108e-001	-1.18272699e+006	
3.82856932e-001	-1.18275837e+006	
3.87308757e-001	-1.18278975e+006	
3.91760582e-001	-1.18282112e+006	
3.96212407e-001	-1.18285250e+006	
4.00664232e-001	-1.18288388e+006	
4.05116056e-001	-1.18291526e+006	
4.09567881e-001	-1.18294663e+006	
4.14019706e-001	-1.18297801e+006	
4.18471531e-001	-1.18298085e+006	
4.22923356e-001	-1.18297952e+006	
4.27375180e-001	-1.18297818e+006	
4.31827005e-001	-1.18297685e+006	
4.36278830e-001	-1.18297551e+006	
4.40730655e-001	-1.18297418e+006	
4.45182480e-001	-1.18297284e+006	
4.49634304e-001	-1.18297151e+006	
4.54086129e-001	-1.18297017e+006	
4.58537954e-001	-1.18296884e+006	
4.62989779e-001	-1.18296750e+006	
4.67441604e-001	-1.18296617e+006	
4.71893428e-001	-1.18296483e+006	
4.76345253e-001	-1.18296349e+006	
4.80797078e-001	-1.18296216e+006	
4.85248903e-001	-1.18296082e+006	
4.89700728e-001	-1.18295949e+006	
4.94152552e-001	-1.18295815e+006	
4.98604377e-001	-1.18295682e+006	
5.03056202e-001	-1.18295548e+006	
5.07508027e-001	-1.18295415e+006	
5.11959851e-001	-1.18295281e+006	
5.16411676e-001	-1.18295148e+006	
5.20863501e-001	-1.18295014e+006	
5.25315326e-001	-1.18294881e+006	
5.29767151e-001	-1.18294747e+006	
5.34218975e-001	-1.18294614e+006	
5.38670800e-001	-1.18294480e+006	
5.43122625e-001	-1.18294347e+006	
5.47574450e-001	-1.18294213e+006	
5.52026275e-001	-1.18294080e+006	
5.56478099e-001	-1.18293946e+006	
5.60929924e-001	-1.18293812e+006	
5.65381749e-001	-1.18293679e+006	
5.69833574e-001	-1.18293545e+006	
5.74285399e-001	-1.18293412e+006	
5.78737223e-001	-1.18293278e+006	
5.83189048e-001	-1.18288372e+006	
5.87640873e-001	-1.18282804e+006	
5.92092698e-001	-1.18277236e+006	
5.96544523e-001	-1.18271668e+006	
6.00996347e-001	-1.18266100e+006	
6.05448172e-001	-1.18260532e+006	
6.09899997e-001	-1.18254963e+006	
6.14351822e-001	-1.18249395e+006	
6.18803647e-001	-1.18243827e+006	
6.23255471e-001	-1.18238259e+006	
6.27707296e-001	-1.18232691e+006	
6.32159121e-001	-1.18227123e+006	
6.36610946e-001	-1.18221555e+006	
6.41062771e-001	-1.18215987e+006	
6.45514595e-001	-1.18210419e+006	
6.49966420e-001	-1.18204851e+006	
6.54418245e-001	-1.18199283e+006	
6.58870070e-001	-1.18193715e+006	
6.63321895e-001	-1.18188147e+006	
6.67773719e-001	-1.18182579e+006	
6.72225544e-001	-1.18177011e+006	
6.76677369e-001	-1.18171443e+006	
6.81129194e-001	-1.18165875e+006	
6.85581019e-001	-1.18160307e+006	
6.90032843e-001	-1.18154739e+006	
6.94484668e-001	-1.18149171e+006	
6.98936493e-001	-1.18143603e+006	
7.03388318e-001	-1.18138034e+006	
7.07840142e-001	-1.18132466e+006	
7.12291967e-001	-1.18126898e+006	
7.16743792e-001	-1.18121330e+006	
7.21195617e-001	-1.18115762e+006	
7.25647442e-001	-1.18110194e+006	
7.30099266e-001	-1.18104626e+006	
7.34551091e-001	-1.18099058e+006	
7.39002916e-001	-1.18093490e+006	
7.43454741e-001	-1.18087922e+006	
7.47906566e-001	-1.18082354e+006	
7.52358390e-001	-1.18076786e+006	
7.56810215e-001	-1.18071218e+006	
7.61262040e-001	-1.18065650e+006	
7.65713865e-001	-1.18060082e+006	
7.70165690e-001	-1.18054514e+006	
7.74617514e-001	-1.18048946e+006	
7.79069339e-001	-1.18043378e+006	
7.83521164e-001	-1.18037810e+006	
7.87972989e-001	-1.18032242e+006	
7.92424814e-001	-1.18026674e+006	
7.96876638e-001	-1.18021105e+006	
8.01328463e-001	-1.18015537e+006	
8.05780288e-001	-1.18009969e+006	
8.10232113e-001	-1.18004401e+006	
8.14683938e-001	-1.17998833e+006	
8.19135762e-001	-1.17993265e+006	
8.23587587e-001	-1.17987697e+006	
8.28039412e-001	-1.17982129e+006	
8.32491237e-001	-1.17976561e+006	
8.36943062e-001	-1.17970993e+006	
8.41394886e-001	-1.17965425e+006	
8.45846711e-001	-1.17959857e+006	
8.50298536e-001	-1.17954289e+006	
8.54750361e-001	-1.17948721e+006	
8.59202186e-001	-1.17943153e+006	
8.63654010e-001	-1.17937585e+006	
8.68105835e-001	-1.17932018e+006	
8.72557660e-001	-1.17927688e+006	
8.77009485e-001	-1.17923495e+006	
8.81461310e-001	-1.17919302e+006	
8.85913134e-001	-1.17915109e+006	
8.90364959e-001	-1.17910915e+006	
8.94816784e-001	-1.17906722e+006	
8.99268609e-001	-1.17902529e+006	
9.03720434e-001	-1.17898336e+006	
9.08172258e-001	-1.17894143e+006	
9.12624083e-001	-1.17889950e+006	
9.17075908e-001	-1.17885756e+006	
9.21527733e-001	-1.17881563e+006	
9.25979557e-001	-1.17877370e+006	
9.30431382e-001	-1.17873177e+006	
9.34883207e-001	-1.17868984e+006	
9.39335032e-001	-1.17864791e+006	
9.43786857e-001	-1.17860598e+006	
9.48238681e-001	-1.17856404e+006	
9.52690506e-001	-1.17852211e+006	
9.57142331e-001	-1.17848018e+006	
9.61594156e-001	-1.17843825e+006	
9.66045981e-001	-1.17839632e+006	
9.70497805e-001	-1.17835439e+006	
9.74949630e-001	-1.17831246e+006	
9.79401455e-001	-1.17827052e+006	
9.83853280e-001	-1.17822859e+006	
9.88305105e-001	-1.17818666e+006	
9.92756929e-001	-1.17814473e+006	
9.97208754e-001	-1.17810280e+006	
1.00166058e+000	-1.17806087e+006	
1.00611240e+000	-1.17801894e+006	
1.01056423e+000	-1.17797700e+006	
1.01501605e+000	-1.17793507e+006	
1.01946788e+000	-1.17789314e+006	
1.02391970e+000	-1.17785121e+006	
1.02837153e+000	-1.17780928e+006	
1.03282335e+000	-1.17776735e+006	
1.03727518e+000	-1.17772542e+006	
1.04172700e+000	-1.17768348e+006	
1.04617883e+000	-1.17764155e+006	
1.05063065e+000	-1.17759962e+006	
1.05508248e+000	-1.17755769e+006	
1.05953430e+000	-1.17751576e+006	
1.06398613e+000	-1.17747383e+006	
1.06843795e+000	-1.17743189e+006	
1.07288978e+000	-1.17738996e+006	
1.07734160e+000	-1.17734803e+006	
1.08179343e+000	-1.17730610e+006	
1.08624525e+000	-1.17726417e+006	
1.09069707e+000	-1.17722224e+006	
1.09514890e+000	-1.17718031e+006	
1.09960072e+000	-1.17713837e+006	
1.10405255e+000	-1.17709644e+006	
1.10850437e+000	-1.17705451e+006	
1.11295620e+000	-1.17701258e+006	
1.11740802e+000	-1.17697065e+006	
1.12185985e+000	-1.17692872e+006	
1.12631167e+000	-1.17688679e+006	
1.13076350e+000	-1.17684485e+006	
1.13521532e+000	-1.17680292e+006	
1.13966715e+000	-1.17676099e+006	
1.14411897e+000	-1.17671906e+006	
1.14857080e+000	-1.17667713e+006	
1.15302262e+000	-1.17663520e+006	
1.15747445e+000	-1.17659481e+006	
1.16192627e+000	-1.17662940e+006	
1.16637810e+000	-1.17667268e+006	
1.17082992e+000	-1.17671596e+006	
1.17528175e+000	-1.17675924e+006	
1.17973357e+000	-1.17680252e+006	
1.18418540e+000	-1.17684580e+006	
1.18863722e+000	-1.17688908e+006	
1.19308905e+000	-1.17693236e+006	
1.19754087e+000	-1.93405607e+003	
1.20199269e+000	-1.93514350e+003	
1.20644452e+000	-1.93623142e+003	
1.21089634e+000	-1.93731984e+003	
1.21534817e+000	-1.93840874e+003	
1.21979999e+000	-1.93949813e+003	
1.22425182e+000	-1.94058802e+003	
1.22870364e+000	-1.94167839e+003	
1.23315547e+000	-1.94276926e+003	
1.23760729e+000	-1.94340768e+003	
1.24205912e+000	-1.94451244e+003	
1.24651094e+000	-1.94561772e+003	
1.25096277e+000	-1.94672351e+003	
1.25541459e+000	-1.94782981e+003	
1.25986642e+000	-1.94893661e+003	
1.26431824e+000	-1.95004393e+003	
1.26877007e+000	-1.95115176e+003	
1.27322189e+000	-1.95226010e+003	
1.27767372e+000	-1.95336895e+003	
1.28212554e+000	-1.95447831e+003	
1.28657737e+000	-1.95558818e+003	
1.29102919e+000	-1.95669856e+003	
1.29548102e+000	-1.95780945e+003	
1.29993284e+000	-1.95892086e+003	
1.30438467e+000	-1.96003277e+003	
1.30883649e+000	-1.96114519e+003	
1.31328831e+000	-1.96225812e+003	
1.31774014e+000	-1.96337157e+003	
1.32219196e+000	-1.96448552e+003	
1.32664379e+000	-1.96559999e+003	
1.33109561e+000	-1.96671496e+003	
1.33554744e+000	-1.96783045e+003	
1.33999926e+000	-1.96894645e+003	
1.34445109e+000	-1.97006295e+003	
